tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
06/17/2025,692.25,728.00,686.00,716.00,+40.50,+6.00%,"160,597","174,391","{'tradeTime': '2025-06-17', 'openPrice': 692.25, 'highPrice': 728, 'lowPrice': 686, 'lastPrice': 716, 'priceChange': 40.5, 'percentChange': 0.059955588453, 'volume': 160597, 'openInterest': 174391}"
06/16/2025,713.50,721.75,664.50,675.50,-1.25,-0.18%,"147,597","172,211","{'tradeTime': '2025-06-16', 'openPrice': 713.5, 'highPrice': 721.75, 'lowPrice': 664.5, 'lastPrice': 675.5, 'priceChange': -1.25, 'percentChange': -0.00184706317, 'volume': 147597, 'openInterest': 172211}"
06/13/2025,650.00,701.25,649.25,676.75,+36.25,+5.66%,"216,993","172,696","{'tradeTime': '2025-06-13', 'openPrice': 650, 'highPrice': 701.25, 'lowPrice': 649.25, 'lastPrice': 676.75, 'priceChange': 36.25, 'percentChange': 0.056596409055, 'volume': 216993, 'openInterest': 172696}"
06/12/2025,646.25,648.25,634.25,640.50,+8.75,+1.39%,"114,408","175,240","{'tradeTime': '2025-06-12', 'openPrice': 646.25, 'highPrice': 648.25, 'lowPrice': 634.25, 'lastPrice': 640.5, 'priceChange': 8.75, 'percentChange': 0.013850415512, 'volume': 114408, 'openInterest': 175240}"
06/11/2025,621.25,650.00,618.25,631.75,+0.25,+0.04%,"99,732","167,984","{'tradeTime': '2025-06-11', 'openPrice': 621.25, 'highPrice': 650, 'lowPrice': 618.25, 'lastPrice': 631.75, 'priceChange': 0.25, 'percentChange': 0.000395882819, 'volume': 99732, 'openInterest': 167984}"
06/10/2025,625.50,631.75,620.25,631.50,+7.25,+1.16%,"111,680","163,704","{'tradeTime': '2025-06-10', 'openPrice': 625.5, 'highPrice': 631.75, 'lowPrice': 620.25, 'lastPrice': 631.5, 'priceChange': 7.25, 'percentChange': 0.011613936724, 'volume': 111680, 'openInterest': 163704}"
06/09/2025,621.50,626.50,618.50,624.25,+5.75,+0.93%,"113,038","156,012","{'tradeTime': '2025-06-09', 'openPrice': 621.5, 'highPrice': 626.5, 'lowPrice': 618.5, 'lastPrice': 624.25, 'priceChange': 5.75, 'percentChange': 0.00929668553, 'volume': 113038, 'openInterest': 156012}"
06/06/2025,612.75,622.25,609.00,618.50,+3.75,+0.61%,"61,187","147,186","{'tradeTime': '2025-06-06', 'openPrice': 612.75, 'highPrice': 622.25, 'lowPrice': 609, 'lastPrice': 618.5, 'priceChange': 3.75, 'percentChange': 0.006100040667, 'volume': 61187, 'openInterest': 147186}"
06/05/2025,606.75,616.75,605.00,614.75,+9.25,+1.53%,"43,689","144,089","{'tradeTime': '2025-06-05', 'openPrice': 606.75, 'highPrice': 616.75, 'lowPrice': 605, 'lastPrice': 614.75, 'priceChange': 9.25, 'percentChange': 0.015276630884, 'volume': 43689, 'openInterest': 144089}"
06/04/2025,614.50,617.25,603.50,605.50,-9.00,-1.46%,"74,537","145,321","{'tradeTime': '2025-06-04', 'openPrice': 614.5, 'highPrice': 617.25, 'lowPrice': 603.5, 'lastPrice': 605.5, 'priceChange': -9, 'percentChange': -0.014646053702, 'volume': 74537, 'openInterest': 145321}"
06/03/2025,607.50,617.00,603.50,614.50,+11.25,+1.86%,"72,940","146,483","{'tradeTime': '2025-06-03', 'openPrice': 607.5, 'highPrice': 617, 'lowPrice': 603.5, 'lastPrice': 614.5, 'priceChange': 11.25, 'percentChange': 0.018648984666, 'volume': 72940, 'openInterest': 146483}"
06/02/2025,592.00,612.50,592.00,603.25,+15.00,+2.55%,"44,277","139,522","{'tradeTime': '2025-06-02', 'openPrice': 592, 'highPrice': 612.5, 'lowPrice': 592, 'lastPrice': 603.25, 'priceChange': 15, 'percentChange': 0.025499362516, 'volume': 44277, 'openInterest': 139522}"
05/30/2025,593.75,600.75,584.25,588.25,-8.25,-1.38%,"50,447","138,418","{'tradeTime': '2025-05-30', 'openPrice': 593.75, 'highPrice': 600.75, 'lowPrice': 584.25, 'lastPrice': 588.25, 'priceChange': -8.25, 'percentChange': -0.013830678961, 'volume': 50447, 'openInterest': 138418}"
05/29/2025,606.00,613.00,593.75,596.50,-9.00,-1.49%,"34,941","141,193","{'tradeTime': '2025-05-29', 'openPrice': 606, 'highPrice': 613, 'lowPrice': 593.75, 'lastPrice': 596.5, 'priceChange': -9, 'percentChange': -0.014863748968, 'volume': 34941, 'openInterest': 141193}"
05/28/2025,600.00,610.50,597.25,605.50,+10.00,+1.68%,"44,935","139,592","{'tradeTime': '2025-05-28', 'openPrice': 600, 'highPrice': 610.5, 'lowPrice': 597.25, 'lastPrice': 605.5, 'priceChange': 10, 'percentChange': 0.016792611251, 'volume': 44935, 'openInterest': 139592}"
05/27/2025,600.00,604.75,594.50,595.50,-5.50,-0.92%,"41,991","133,083","{'tradeTime': '2025-05-27', 'openPrice': 600, 'highPrice': 604.75, 'lowPrice': 594.5, 'lastPrice': 595.5, 'priceChange': -5.5, 'percentChange': -0.009151414309, 'volume': 41991, 'openInterest': 133083}"
