tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
07/07/2025,2.1780,2.1892,2.1750,2.1883,+0.0184,+0.85%,"2,315","5,275","{'tradeTime': '2025-07-07', 'openPrice': 2.178, 'highPrice': 2.1892, 'lowPrice': 2.175, 'lastPrice': 2.1883, 'priceChange': 0.0184, 'percentChange': 0.00847965344, 'volume': 2315, 'openInterest': 5275}"
07/03/2025,2.1767,2.1846,2.1673,2.1699,-0.0216,-0.99%,"1,479","5,118","{'tradeTime': '2025-07-03', 'openPrice': 2.1767, 'highPrice': 2.1846, 'lowPrice': 2.1673, 'lastPrice': 2.1699, 'priceChange': -0.0216, 'percentChange': -0.009856262834, 'volume': 1479, 'openInterest': 5118}"
07/02/2025,2.1445,2.1930,2.1441,2.1915,+0.0398,+1.85%,"1,690","4,814","{'tradeTime': '2025-07-02', 'openPrice': 2.1445, 'highPrice': 2.193, 'lowPrice': 2.1441, 'lastPrice': 2.1915, 'priceChange': 0.0398, 'percentChange': 0.01849700237, 'volume': 1690, 'openInterest': 4814}"
07/01/2025,2.1347,2.1569,2.1268,2.1517,+0.0147,+0.69%,"1,528","4,653","{'tradeTime': '2025-07-01', 'openPrice': 2.1347, 'highPrice': 2.1569, 'lowPrice': 2.1268, 'lastPrice': 2.1517, 'priceChange': 0.0147, 'percentChange': 0.006878802059, 'volume': 1528, 'openInterest': 4653}"
06/30/2025,2.1317,2.1404,2.1108,2.1370,+0.0145,+0.68%,"1,448","4,418","{'tradeTime': '2025-06-30', 'openPrice': 2.1317, 'highPrice': 2.1404, 'lowPrice': 2.1108, 'lastPrice': 2.137, 'priceChange': 0.0145, 'percentChange': 0.006831566549, 'volume': 1448, 'openInterest': 4418}"
06/27/2025,2.1361,2.1362,2.1090,2.1225,-0.0250,-1.16%,"1,101","4,496","{'tradeTime': '2025-06-27', 'openPrice': 2.1361, 'highPrice': 2.1362, 'lowPrice': 2.109, 'lastPrice': 2.1225, 'priceChange': -0.025, 'percentChange': -0.011641443539, 'volume': 1101, 'openInterest': 4496}"
06/26/2025,2.1486,2.1659,2.1475,2.1475,+0.0166,+0.78%,"1,261","4,494","{'tradeTime': '2025-06-26', 'openPrice': 2.1486, 'highPrice': 2.1659, 'lowPrice': 2.1475, 'lastPrice': 2.1475, 'priceChange': 0.0166, 'percentChange': 0.007790135623, 'volume': 1261, 'openInterest': 4494}"
06/25/2025,2.1409,2.1652,2.1299,2.1309,-0.0119,-0.56%,"1,108","4,398","{'tradeTime': '2025-06-25', 'openPrice': 2.1409, 'highPrice': 2.1652, 'lowPrice': 2.1299, 'lastPrice': 2.1309, 'priceChange': -0.0119, 'percentChange': -0.005553481426, 'volume': 1108, 'openInterest': 4398}"
06/24/2025,2.1515,2.1661,2.1393,2.1428,-0.0872,-3.91%,"1,654","4,461","{'tradeTime': '2025-06-24', 'openPrice': 2.1515, 'highPrice': 2.1661, 'lowPrice': 2.1393, 'lastPrice': 2.1428, 'priceChange': -0.0872, 'percentChange': -0.039103139013, 'volume': 1654, 'openInterest': 4461}"
06/23/2025,2.3399,2.4192,2.1988,2.2300,-0.1131,-4.83%,"1,500","4,467","{'tradeTime': '2025-06-23', 'openPrice': 2.3399, 'highPrice': 2.4192, 'lowPrice': 2.1988, 'lastPrice': 2.23, 'priceChange': -0.1131, 'percentChange': -0.04826938671, 'volume': 1500, 'openInterest': 4467}"
