tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
07/08/2025,648.25,660.75,645.00,658.00,+10.75,+1.66%,"36,539",0,"{'tradeTime': '2025-07-08', 'openPrice': 648.25, 'highPrice': 660.75, 'lowPrice': 645, 'lastPrice': 658, 'priceChange': 10.75, 'percentChange': 0.016608729239, 'volume': 36539, 'openInterest': 0}"
07/07/2025,642.75,653.00,640.50,647.25,-2.50,-0.38%,"51,963","94,758","{'tradeTime': '2025-07-07', 'openPrice': 642.75, 'highPrice': 653, 'lowPrice': 640.5, 'lastPrice': 647.25, 'priceChange': -2.5, 'percentChange': -0.003847633705, 'volume': 51963, 'openInterest': 94758}"
07/04/2025,645.00,650.75,638.75,649.75,+2.75,+0.43%,"28,194","92,267","{'tradeTime': '2025-07-04', 'openPrice': 645, 'highPrice': 650.75, 'lowPrice': 638.75, 'lastPrice': 649.75, 'priceChange': 2.75, 'percentChange': 0.004250386399, 'volume': 28194, 'openInterest': 92267}"
07/03/2025,647.00,649.75,641.50,647.00,+7.00,+1.09%,"51,165","92,046","{'tradeTime': '2025-07-03', 'openPrice': 647, 'highPrice': 649.75, 'lowPrice': 641.5, 'lastPrice': 647, 'priceChange': 7, 'percentChange': 0.0109375, 'volume': 51165, 'openInterest': 92046}"
07/02/2025,638.25,648.50,634.00,640.00,+5.25,+0.83%,"49,618","92,933","{'tradeTime': '2025-07-02', 'openPrice': 638.25, 'highPrice': 648.5, 'lowPrice': 634, 'lastPrice': 640, 'priceChange': 5.25, 'percentChange': 0.008270972824, 'volume': 49618, 'openInterest': 92933}"
07/01/2025,627.75,640.25,626.00,634.75,+5.00,+0.79%,"38,471","93,494","{'tradeTime': '2025-07-01', 'openPrice': 627.75, 'highPrice': 640.25, 'lowPrice': 626, 'lastPrice': 634.75, 'priceChange': 5, 'percentChange': 0.007939658595, 'volume': 38471, 'openInterest': 93494}"
06/30/2025,624.50,632.00,620.75,629.75,-0.50,-0.08%,"22,370","94,183","{'tradeTime': '2025-06-30', 'openPrice': 624.5, 'highPrice': 632, 'lowPrice': 620.75, 'lastPrice': 629.75, 'priceChange': -0.5, 'percentChange': -0.000793335978, 'volume': 22370, 'openInterest': 94183}"
06/27/2025,635.75,638.00,621.75,630.25,-11.50,-1.79%,"29,449","93,596","{'tradeTime': '2025-06-27', 'openPrice': 635.75, 'highPrice': 638, 'lowPrice': 621.75, 'lastPrice': 630.25, 'priceChange': -11.5, 'percentChange': -0.017919750682, 'volume': 29449, 'openInterest': 93596}"
06/26/2025,630.00,642.50,628.25,641.75,+4.25,+0.67%,"32,868","92,571","{'tradeTime': '2025-06-26', 'openPrice': 630, 'highPrice': 642.5, 'lowPrice': 628.25, 'lastPrice': 641.75, 'priceChange': 4.25, 'percentChange': 0.006666666667, 'volume': 32868, 'openInterest': 92571}"
06/25/2025,638.00,641.00,628.50,637.50,+1.50,+0.24%,"49,144","93,529","{'tradeTime': '2025-06-25', 'openPrice': 638, 'highPrice': 641, 'lowPrice': 628.5, 'lastPrice': 637.5, 'priceChange': 1.5, 'percentChange': 0.002358490566, 'volume': 49144, 'openInterest': 93529}"
06/24/2025,644.75,646.50,625.75,636.00,-57.50,-8.29%,"77,275","96,854","{'tradeTime': '2025-06-24', 'openPrice': 644.75, 'highPrice': 646.5, 'lowPrice': 625.75, 'lastPrice': 636, 'priceChange': -57.5, 'percentChange': -0.082912761355, 'volume': 77275, 'openInterest': 96854}"
06/23/2025,720.00,744.00,644.00,693.50,-7.50,-1.07%,"86,585","94,129","{'tradeTime': '2025-06-23', 'openPrice': 720, 'highPrice': 744, 'lowPrice': 644, 'lastPrice': 693.5, 'priceChange': -7.5, 'percentChange': -0.010699001427, 'volume': 86585, 'openInterest': 94129}"
06/20/2025,708.50,711.50,693.00,701.00,-21.25,-2.94%,"71,037","97,230","{'tradeTime': '2025-06-20', 'openPrice': 708.5, 'highPrice': 711.5, 'lowPrice': 693, 'lastPrice': 701, 'priceChange': -21.25, 'percentChange': -0.02942194531, 'volume': 71037, 'openInterest': 97230}"
